Name,Review Date,Verified,Type of Traveller,Month Flown,Route,Class,Sentiment,Origin,Destiny,Scale,Scale_bool,Or_country,Dst_country,Or_continent,Dst_continent,Or_lat,Dst_lat,Or_long,Dst_long,distance_km,Rev,year,month,day,Reviews_Simp,polarity,review_len,word_count
Jeff Paccione,2023-09-17,True,Family Leisure,September 2023,New York to Frankfurt,Business Class,2,New York,Frankfurt,None,False, United States, Germany,New York,Frankfurt,40.7127281,50.1106444,-74.0060152,8.6820917,6219.484562179871,"  My wife and I had booked a trip to Europe. We unfortunately had to cancel the day before we were scheduled to leave due to a death in the family. I did not have trip insurance and had obtained the tickets with miles. The miles were not refundable. I called Singapore and after providing medical documentation, they generously credited me my miles back so we can re-book our trip at a later date. To me, this is the sign of a FIRST CLASS organization. They were in their rights not to refund the miles, but they did. I have flown Singapore for years, even if a had to take a second flight to arrive at my destination. I will continue to use Singapore every chance I get. I give them 5 stars for their compassion, consideration and rapid response. Thank you.consideration and rapid response",2023,09,17,wife booked trip europe unfortunately cancel day scheduled leave due death family not trip insurance obtained tickets miles miles not refundable called providing medical documentation generously credited miles back rebook trip later date sign first class organization rights not refund miles but flown years even if take second arrive destination will continue use every chance get give stars compassion consideration rapid response thank youconsideration rapid response,-0.05357142857142857,470,66
Michael Little,2023-09-17,True,Couple Leisure,September 2023,Penang to Melbourne via Singapore,Business Class,2,Penang,Melbourne,Singapore,True, Malaysia, Australia,Penang,Melbourne,5.4065013,-37.8142454,100.2559077,144.9631732,6652.344059846838," Check-in and boarding in Penang were smooth. The lounge in Penang was quite ordinary but completely adequate. On board, the window seat was very comfortable, though storage was limited. My pre-ordered vegetarian meal hadn't been loaded, so I was given a very bready pizza from Economy class. At Changi the Singapore Business lounge in Terminal 3 was vastly superior to those of most airlines, even when crowded. The process of boarding the A380 was smooth. The seat was comfortable and converted into a good bed, but a little tight around the feet. My vegetarian meal was delicious. The number of toilets in the Business section was limited, and there were Economy-type queues in the morning. The luggage was available quickly. Overall a very good experience.a very good experience",2023,09,17,checkin boarding penang smooth lounge penang quite ordinary but completely adequate board window seat comfortable though storage limited preordered vegetarian meal hadnt loaded given bready pizza economy class changi business lounge terminal vastly superior even crowded process boarding smooth seat comfortable converted good bed but little tight around feet vegetarian meal delicious number toilets business section limited economytype queues morning luggage available quickly overall good experiencea good experience,0.31614145658263304,519,68
Michael Little,2023-09-17,True,Couple Leisure,June 2023,Melbourne to Fukuoka via Singapore,Business Class,2,Melbourne,Fukuoka,Singapore,True, Australia, Japan,Melbourne,Fukuoka Prefecture,-37.8142454,33.6251241,144.9631732,130.6180016,8047.319146514418,"  At Melbourne airport the check-in was very quick and friendly, and the lounge was pleasant and had a good selection of food and drink. Onboard the cabin crew was welcoming, and the seat on the B777 was very comfortable with adequate storage though the diagonal arrangement for lying flat was awkward. No amenities kit was provided. The quality of the vegetarian meals was way above that of other airlines. The flight arrived in Singapore a little early and transfer to a nearby gate for the second leg to Japan leaving in 70 minutes was easy. The boarding process was efficient, and the crew on the B787 were also welcoming and the seat was comfortable (not diagonal for sleeping), though storage space was more limited. The flight arrived on time and luggage was available quickly. All in all a very pleasant journey.a very pleasant journey",2023,09,17,melbourne airport checkin quick friendly lounge pleasant good selection food drink onboard cabin crew welcoming seat comfortable adequate storage though diagonal arrangement lying flat awkward no amenities kit provided quality vegetarian meals way arrived little early transfer nearby gate second leg japan leaving minutes easy boarding process efficient crew also welcoming seat comfortable not diagonal sleeping though storage space limited arrived time luggage available quickly pleasant journeya pleasant journey,0.2818277310924369,516,69
Chris Collins,2023-09-16,True,Couple Leisure,September 2023,Singapoe to Christchurch,Business Class,2,Singapore,Christchurch,None,False,Singapore, New Zealand,Singapore,Christchurch,1.357107,-43.530955,103.8194992,172.6364343,8423.963215816813,"  I cannot speak highly enough of the superlative service received on this flight. After I lost one earbud deep down into my seat the crew were determined to retrieve it for me - the lovely hostess thrust her wrist into the seat workings and fished out my earbud, sustaining some pain and minor abrasion. Unbelievable devotion to service! Every other aspect of the crew's service was impeccable as well. I can wholeheartedly recommend Singapore Airlines - I have just flown Economy Class from London to Singapore and the service was fabulous on that flight as well. I am writing this review on in-flight wi-fi - seems to be working fine, for the first time in my experience.Unbelievable devotion to service!",2023,09,16,cannot speak highly enough superlative service received lost one earbud deep down seat crew determined retrieve lovely hostess thrust wrist seat workings fished earbud sustaining pain minor abrasion unbelievable devotion service every aspect crews service impeccable well wholeheartedly recommend flown economy class london service fabulous well writing review inflight wifi seems working fine first time experienceunbelievable devotion service,0.18611111111111114,444,58
Jurgen Henkel,2023-09-15,False,Family Leisure,September 2023,Perth to Phuket via Singapore,Economy Class,2,Perth,Phuket,Singapore,True, Australia, Thailand,Perth,Phuket Province,-31.9558933,7.9366015,115.8605855,98.3529292,4791.039014212763," As always great new planes, friendly service, lots of legroom. On time every time, staff extremely helpful, and even in economy food very good. We will always where possible fly Singapore Airlines. Thank you you are a big part of our holidays.always great new planes",2023,09,15,always great new planes friendly service lots legroom time every time staff extremely helpful even economy food good will always possible fly thank big part holidaysalways great new planes,0.36227272727272725,188,29
Ricky Sharp,2023-09-15,True,Business,April 2023,Brisbane to Singapore,Business Class,2,Brisbane,Singapore,None,False, Australia,Singapore,Brisbane City,Singapore,-27.4689682,1.357107,153.0234991,103.8194992,6152.084850077917,"  I have just flown SQ256 from Brisbane to Singapore and the experience was second to none with outstanding cabin crew. Well done SQ, experience was second to none ",2023,09,15,flown brisbane experience second none outstanding cabin crew well done sq experience second none,0.16666666666666666,96,14
J Hoek,2023-09-14,False,Business,September 2023,Singapore to Paris,Premium Economy,0,Singapore,Paris,None,False,Singapore, France,Singapore,Paris,1.357107,48.8534951,103.8194992,2.3483915,10733.75205205757," Premium economy in Singapore Airlines is terrible. The seats are hard and uncomfortable, the food is the same as economy and there is no separate toilet in the PE cabin (only the economy toilets). We had to ask for a bottle of water, there was no amenity kit and when we asked for socks, the kit we received contained socks and a toothbrush (no toothpaste). The staff were nice but premium economy is simply a premium price for economy quality. Next time I need to go to Europe, I'll look to transit through the US rather than Singapore.premium price for economy quality",2023,09,14,premium economy terrible seats hard uncomfortable food economy no separate toilet pe cabin economy toilets ask bottle water no amenity kit asked socks kit received contained socks toothbrush no toothpaste staff nice but premium economy simply premium price economy quality next time need go europe ill look transit us rather singaporepremium price economy quality,-0.215625,363,54
T Gordon,2023-09-12,True,Solo Leisure,September 2023,Singapore to Melbourne,Economy Class,2,Singapore,Melbourne,None,False,Singapore, Australia,Singapore,Melbourne,1.357107,-37.8142454,103.8194992,144.9631732,6054.843174662175," SQ227 in Economy. Booked in April. Fare was Starting at $1600.00USD, luckily I was able to use my mileage for this trip. Gate opened right on time, with Cabin Crew going through Security after me. I boarded last, and was welcomed aboard. Crew made comments on my Attaché, saying ""You look like 007"", and other nice touches. One asked ""I like that! Is that A Rimowa?"" Nice to see SQ crew attentive, with small touches. Cabin jammed, Had to go around to get to my seat. I sat 62G, and had no Overhead Bin. So I had to use another one. Throughout the flight nobody disturbed my stuff. Luckily my Attaché fit under the seat. Also there is only 1 Lavatory in the rear of the Aircraft. We got served a lovely dinner. I noticed one of the Female crew members, was in a Suit. Flying with SQ since 2008, had me pondered. After the meal I engaged her in some conversation. She said ""I am a Flight Auditor. Do you have any Feedback Sir?'. I didn't tell her about the appallingly horrific SQ check in at FRA, but maybe I should have. I settled in to sleep. One of the Cabin Attendants asked me if I wanted an aid to cover my eyes, but I said no, and I flew asleep. Woke up 90 minutes out, and was served refreshment. Multiple coffee rounds commenced, with crew approaching sleeping passengers for Refreshment. Landed MEL, with announcements on Luggage coming out late, however no SQ Ground Staff at the Luggage Carousel. If I go to Australia again, I would definitely fly Singapore Airlines.served a lovely dinner",2023,09,12,economy booked april fare starting luckily able use mileage trip gate opened right time cabin crew going security boarded last welcomed aboard crew made comments attaché saying look like nice touches one asked like rimowa nice see sq crew attentive small touches cabin jammed go around get seat sat no overhead bin use another one throughout nobody disturbed stuff luckily attaché fit seat also lavatory rear aircraft got served lovely dinner noticed one female crew members suit flying sq since pondered meal engaged conversation said auditor feedback sir didnt tell appallingly horrific sq check fra but maybe settled sleep one cabin attendants asked if wanted aid cover eyes but said no flew asleep woke minutes served refreshment multiple coffee rounds commenced crew approaching sleeping passengers refreshment landed mel announcements luggage coming late however no sq ground staff luggage carousel if go australia would definitely fly airlinesserved lovely dinner,0.17205513784461152,970,148
C Tarleno,2023-09-08,True,Solo Leisure,September 2023,Newark to Singapore,Premium Economy,2,Newark,Singapore,None,False, United States,Singapore,Newark,Singapore,40.735657,1.357107,-74.1723667,103.8194992,15338.252912967062,"  World's Longest Commercial Flight, in Premium Economy Solo Seat. Bought Tickets in April. SQ Counter at EWR rather late to open, however incoming aircraft arrived late. Staff didn't know final destination, and I had to help them. No bother, as they appreciated it, and checked my Rimowa through. Cabin Crew arrived 40 minutes before boarding time. Ground staff again were novice, and boarding was kind of ""rough"" due to misplaced announcements. I was the last to board. Upon boarding was greeted throughout my walk to my seat. One Attendant even asked where I was going, smiled, and got out of the way. SQ Premium Economy Solo Seat so comfortable, and side bin holds so much. Took off on time, to a lovely sunny day. Had to use the Lavatory, and had to wait, because a Cabin Attendant was cleaning it. She noticed me, and expedited her clean. On IFE the ""Old is Gold"" section is gone, but a excess of Old movies were available, and I watched Star Wars. A drink run commenced, then Lunch. When they arrived for Lunch, the Attendant Instantly apologized, and said they only had 1 meal type however, however promised multiple options later. So I went ahead, and had it. Was tasty, followed my Ice Cream, and another drink round. I dozed off, and woke up over Denmark. Went to use the Lavatory again, however it was again being cleaned. Snack/drink runs were conducted. Really appreciate the crew on the details. Had the second meal of Iraq/Iran. I had the Seafood option. Was exceptional, hot too symphony of flavors. More drink runs followed. I dozed off again, and woke up with a Made in Italy pocket Pizza next to me. Landed SIN, to a beautiful evening. Once again SQ21, SQ23 Exceptionally shine.Exceptionally shine",2023,09,08,worlds longest commercial premium economy solo seat bought tickets april sq counter ewr rather late open however incoming aircraft arrived late staff didnt know final destination help no bother appreciated checked rimowa cabin crew arrived minutes boarding time ground staff novice boarding kind rough due misplaced announcements last board upon boarding greeted throughout walk seat one attendant even asked going smiled got way sq premium economy solo seat comfortable side bin holds much took off time lovely sunny day use lavatory wait cabin attendant cleaning noticed expedited clean ife old gold section gone but excess old movies available watched star wars drink run commenced lunch arrived lunch attendant instantly apologized said meal type however however promised multiple options later went ahead tasty followed ice cream another drink round dozed off woke denmark went use lavatory however cleaned snackdrink runs conducted really appreciate crew details second meal iraqiran seafood option exceptional hot symphony flavors drink runs followed dozed off woke made italy pocket pizza next landed sin beautiful evening exceptionally shineexceptionally shine,0.16590909090909092,1169,171
Lukas Fajt,2023-08-29,False,Family Leisure,September 2022,Frankfurt to New York,Economy Class,2,Frankfurt,New York,None,False, Germany, United States,Frankfurt,New York,50.1106444,40.7127281,8.6820917,-74.0060152,6219.484562179871,  We flew with Singapore to New York for the first time and were very pleased. Everything was professional and comfortable. The staff helped us with everything. Nothing to complain about.professional and comfortable,2023,08,29,flew new york first time pleased everything professional comfortable staff helped us everything nothing complain aboutprofessional comfortable,0.2977272727272727,142,17
M Stock,2023-08-29,False,Couple Leisure,August 2023,Frankfurt to Sydney via Singapore,Economy Class,0,Frankfurt,Sydney,Singapore,True, Germany, Australia,Frankfurt,Sydney,50.1106444,-33.8698439,8.6820917,151.2082848,16478.694502561913,"  My partner is a student, and we’re in the process of moving her home, we called to add her student Kris-Flyer account to her ticket and they confirmed over the phone they did, and that they left a note and that they unfortunately couldn’t send email confirmation - despite our requests. The ground crew were asking for email confirmation and attempted to charge us 600+ euros for the extra weight (€60/kg) despite our allowance supposedly covering this. Then the ground crew advised us to pay now and attempt to claim later (which in a previous experience which costed me €2000 didn’t get me any return) We turned up 4 hours before our flight. It’s been 2 while being on hold again for another hour to get re-confirmation. If you value you your time more than this avoid them if you can, pre-covid, Singapore was best in class. Now they’ve begun to nose-dive.they’ve begun to nose-dive",2023,08,29,partner student we’re process moving home called add student krisflyer account ticket confirmed phone left note unfortunately couldn’t send email confirmation despite requests ground crew asking email confirmation attempted charge us euros extra weight € despite allowance supposedly covering ground crew advised us pay attempt claim later previous experience costed € didn’t get return turned hours it’s hold another hour get reconfirmation if value time avoid if precovid best class they’ve begun nosedivethey’ve begun nosedive,0.10476190476190476,529,75
Anthony Sticha,2023-08-23,True,Solo Leisure,July 2023,Hong Kong to Cairns via Singapore,Economy Class,2,Hong Kong,Cairns,Singapore,True, China, Australia,Hong Kong Island,Cairns,22.2793278,-16.9206657,114.1628131,145.7721854,5537.919926809875,"  I have always had a good cabin experience with Singapore and been a Gold Member for decades. However a recent baggage issue has left me gobsmacked by their tardiness and callous behaviour. Landed in SIN on a stopover and noticed my Delsey case (only 12kg total check in) had a 6 inch case fracture. I reported it and received a case number. On arriving into Cairns the next day, there was no customer service representative visible so I could not pursue the matter. After calling SQ in Singapore after 3 weeks I was finally emailed by a local representative who saw the bag damage photos and offered 100 dollars full settlement for a new bag worth 400 dollars.  The experience has let me reconsider any future SQ travel plans.offered 100 dollars full settlement",2023,08,23,always good cabin experience gold member decades however recent baggage issue left gobsmacked tardiness callous behaviour landed sin stopover noticed delsey case total check inch case fracture reported received case number arriving cairns next day no customer service representative visible could not pursue matter calling sq weeks finally emailed local representative saw bag damage photos offered dollars full settlement new bag worth dollars experience let reconsider future sq travel plansoffered dollars full settlement,0.153030303030303,524,73
Rajendra Agarwal,2023-08-21,False,Family Leisure,August 2023,Vancouver to Delhi via Singapore,Premium Economy,1,Vancouver,Delhi,Singapore,True, Canada, India,Vancouver,Delhi,49.2608724,28.6273928,-123.113952,77.1716954,11146.402936597284,  Baggage handling was very poor. My new suitcase was very badly handled. All 4 wheels were broken and pulling handle was jammed. Upon lodging complaint they simply said this is caused by routine handling and airline can do nothing about it. This was very bad and was not expected from an airline among top airlines of the world.Baggage handling was very poor,2023,08,21,baggage handling poor new suitcase badly handled wheels broken pulling handle jammed upon lodging complaint simply said caused routine handling nothing bad not expected among top worldbaggage handling poor,-0.21033057851239667,205,29
Gayle Peacock,2023-08-21,True,Couple Leisure,July 2023,Adelaide to Zurich via Singaphore,Business Class,2,Adelaide,Zurich,Singaphore,True, Australia, Switzerland,Adelaide,Zurich,-34.9281805,47.3744489,138.5999312,8.5410422,15688.1726519107,"  We had a wonderful crew, especially Singapore to Zurich SQ346 17/7/23 with Marissa, Celeste, Joanne and Scarlet who looked after us wonderfully. They attended to all our needs with no fuss. Thankyou.We had a wonderful crew",2023,08,21,wonderful crew especially zurich marissa celeste joanne scarlet looked us wonderfully attended needs no fuss thankyouwe wonderful crew,0.75,134,18
M Schueller,2023-08-13,True,Business,August 2023,Phuket to Dubai via Singapore,Economy Class,2,Phuket,Dubai,Singapore,True, Thailand, United Arab Emirates,Phuket Province,Dubai,7.9366015,25.2653471,98.3529292,55.2924914,4949.705572746915,"  The service was excellent. Very impressed to see Singapore Airlines continuing to be one of my favourite airlines to travel with. The meals were excellent, inflight entertainment was excellent, and the cleanliness in the washrooms were perfect on both of my flights. It is always wonderful travelling with Singapore Airlines and will always continue to use the airline for future travels! Way to go Singapore Airlines!The service was excellent",2023,08,13,service excellent impressed see continuing one favourite travel meals excellent inflight entertainment excellent cleanliness washrooms perfect flights always wonderful travelling will always continue use future travels way go airlinesthe service excellent,0.875,255,31
T Marciano,2023-08-09,False,Solo Leisure,August 2023,Manila to Sinhapore,Economy Class,2,Manila,Singapore,None,False, Philippines,Singapore,Manila,Singapore,14.5906346,1.357107,120.9799964,103.8194992,2388.3841492876168,"  Singapore Airlines impressed me with their outstanding customer service. Despite the unfortunate incident of my stolen passport, they rebooked my flight twice at no cost, showing exceptional flexibility and support. Their quick responses, transparent communication, and genuine care for passengers make them a top choice for hassle-free travel. Kudos to Singapore Airlines for turning a potentially disastrous situation into a shining example of world-class service. outstanding customer service",2023,08,09,impressed outstanding customer service despite unfortunate incident stolen passport rebooked twice no cost showing exceptional flexibility support quick responses transparent communication genuine care passengers make top choice hasslefree travel kudos turning potentially disastrous situation shining example worldclass service outstanding customer service,0.30000000000000004,357,41
Erich Say,2023-08-09,False,Family Leisure,July 2023,Phnom Penh to Singapore,Economy Class,1,Phnom Penh,Singapore,None,False, Cambodia,Singapore,Phnom Penh,Singapore,11.568271,1.357107,104.9224426,103.8194992,1135.8184706382772,"  My flight arrive late which cause a 50 minute delay. Overall not a bad flight. Food was tasty, seat were comfortable and the best inflight entertainment and they are trying to do their best to make up for the delay. On my return flight a 1hour 10 minute delay m. Also not a bad flight. It was the same as my other flight.Overall not a bad flight ",2023,08,09,arrive late cause minute delay overall not bad food tasty seat comfortable best inflight entertainment trying best make delay return minute delay m also not bad flightoverall not bad,0.39375000000000004,182,29
Slawomir Boleslawski,2023-08-03,False,Family Leisure,July 2023,Frankfurt to Singapore,Economy Class,2,Frankfurt,Singapore,None,False, Germany,Singapore,Frankfurt,Singapore,50.1106444,1.357107,8.6820917,103.8194992,10260.83044153216,"  This year we have returned to fly with Singapore Airlines after some years of absence. No regrets! The service, food and everything is way better than other airlines we flew with, including Emirates last year (gluten-free meals on Singapore Airlines are very tasty, unlike Emirates GF meals). Impeccable service that caters for all the needs and even whims of passengers, including my request for a slice of lemon for my tea (the Polish way), which Nadine fullfilled with ease and a smile on the SQ325 flight on 16 July 2023. God bless you, Nadine!way better than other airlines",2023,08,03,year returned fly years absence no regrets service food everything way better flew including emirates last year glutenfree meals tasty unlike emirates gf meals impeccable service caters needs even whims passengers including request slice lemon tea polish way nadine fullfilled ease smile july god bless nadineway better,0.3609375,319,47
Rick Porter,2023-07-22,False,Couple Leisure,July 2023,Sydney to Singapore,Business Class,2,Sydney,Singapore,None,False, Australia,Singapore,Sydney,Singapore,-33.8698439,1.357107,151.2082848,103.8194992,6301.23211398711,"  Thank you to the crew of Chis, Fred, Shin Ru, Mabel, Fhri and Gui Fang. A long time since I have traveled with Singapore Airlines and they are amazing. Great service and food. Extremely comfortable seating.Great service and food",2023,07,22,thank crew chis fred shin ru mabel fhri gui fang long time since traveled amazing great service food extremely comfortable seatinggreat service food,0.4375,148,23
Jarret Velasco,2023-07-19,True,Couple Leisure,January 2023,Davao to New York via Singapore,Economy Class,0,Davao,New York,Singapore,True, Philippines, United States,Davao City,New York,7.0648306,40.7127281,125.6080623,-74.0060152,14348.85417767301, Singapore Airlines still has not reimbursed me for my lost bags back in early January. After fighting them for months they finally agreed to give me some money for losing my stuff. They approved it back on May 18th. They said please allow a month for final approval. Here it is July 17th and still nothing. Singapore Airlines has by far the worst customer service I have ever seen. Please do not fly Singapore Airlines.by far the worst customer service,2023,07,19,still not reimbursed lost bags back early january fighting months finally agreed give money losing stuff approved back may said please allow month final approval july still nothing far worst customer service ever seen please not fly airlinesby far worst customer service,-0.21000000000000002,270,42
L Tran,2023-07-17,False,Family Leisure,April 2023,Singapore to New York,Business Class,2,Singapore,New York,None,False,Singapore, United States,Singapore,New York,1.357107,40.7127281,103.8194992,-74.0060152,15340.036451193524," SQ Silver Kris Lounge in Changi T3 was as good as normal, with excellent food choices and good seating. The flight itself was uneventful, despite a slight delay on departure. The flight was quite bumpy for sometime over Japan, which was expected and announced by the captain. Though this had nothing to do with the airline, I realized that American carriers tend to change route and altitude when encountering turbulence, while Asian carriers seem just to go through that, and I experienced that quite consistently. I ordered my meals through book-the-cook, and the Boon Tong Kee chicken rice was underwhelming, while the lobster thermidor was nice. Service was excellent as expected. Wi-fi was complementary for J passengers, and it worked quite well.Service was excellent as expected",2023,07,17,sq silver kris lounge changi good normal excellent food choices good seating uneventful despite slight delay departure quite bumpy sometime japan expected announced captain though nothing realized american carriers tend change route altitude encountering turbulence asian carriers seem go experienced quite consistently ordered meals bookthecook boon tong kee chicken rice underwhelming lobster thermidor nice service excellent expected wifi complementary j passengers worked quite wellservice excellent expected,0.32083333333333336,512,66
Jerome Hoog,2023-07-16,True,Solo Leisure,May 2023,New York to Frankfurt,Premium Economy,1,New York,Frankfurt,None,False, United States, Germany,New York,Frankfurt,40.7127281,50.1106444,-74.0060152,8.6820917,6219.484562179871," I was looking forward very much to the experience on Singapore Airlines, and even more so, the A380. I was in the bulkhead seat in Premium Economy, so the very first row on the lower level. It was a nice smooth flight, The IFE was adequate, But I was a little disappointed with the level of service. I've always heard about how attentive ""The Singapore Girl"" (ie.flight attendants on SQ) were The service was far from the worst I have ever had on an airline, but not as good as I anticipated. Maybe I was comparing it to the absolute best service I have ever had on an airline I flew on my last overseas flight, a Taipei-based airline. Don't get me wrong, It was not bad at all - just not as good I was expecting.not as good I was expecting",2023,07,16,looking forward much experience even bulkhead seat premium economy first row lower level nice smooth ife adequate but little disappointed level service ive always heard attentive girl ieflight attendants sq service far worst ever but not good anticipated maybe comparing absolute best service ever flew last overseas taipeibased dont get wrong not bad not good expectingnot good expecting,0.07754629629629631,388,58
J Hannesung,2023-07-09,True,Family Leisure,July 2023,Denpasar to Kansai via Singapore,Economy Class,0,Denpasar,Kansai,Singapore,True, Indonesia, India,Denpasar,Kansai,-8.6524973,21.6826139,115.2191175,74.4132972,5578.441995950188,"  We had this unpleasant experience while flying with Singapore Airline SQ 622 on July 9th, 2023 at 13:55 from SIN to KIX airport. One of the staff at the plane door who supposed to help my wife to cover the baby stroller with a plastic bag refused to do the job with ours and ask my wife to do it by herself. We saw him covered other's baby stroller with a plastic bag in front of our eyes but refused to do the same thing with ours. This is unacceptable and very rude. ask my wife to do it by herself",2023,07,09,unpleasant experience flying sq july sin kix airport one staff door supposed help wife cover baby stroller plastic bag refused job ask wife saw covered others baby stroller plastic bag front eyes but refused thing unacceptable rude ask wife,-0.475,240,39
Theresa Lombard,2023-07-04,True,Solo Leisure,July 2023,Auckland to Singapore,Economy Class,2,Auckland,Singapore,None,False, New Zealand,Singapore,Auckland,Singapore,-36.852095,1.357107,174.7631803,103.8194992,8417.625630988234,"  My first time on a Singapore Airlines flight and I was pleasantly surprised by the quality of the gluten free meals offered, the variety of inflight entertainment, the excellence of service, the continuous cleanliness of the toilets and just the overall ease of boarding, flying and of course the airport!I was pleasantly surprised",2023,07,04,first time pleasantly surprised quality gluten free meals offered variety inflight entertainment excellence service continuous cleanliness toilets overall ease boarding flying course airporti pleasantly surprised,0.16999999999999998,212,25
L Tran,2023-06-28,True,Family Leisure,April 2023,Hanoi to Singapore,Business Class,2,Hanoi,Singapore,None,False, Vietnam,Singapore,Hà Nội,Singapore,21.0283334,1.357107,105.854041,103.8194992,2187.343897812847," We did not receive much assistance on the Noi Bai side, but it was good on the Changi side on arrival. The Song Hong Lounge was decent, with good food and nice view of the apron. Singapore Airlines used an A350-900 for a 3-hour flight, which was amazing. Our book-the-cook meals were decent, though not as good as I would like. In-flight service was excellent.In-flight service was excellent",2023,06,28,not receive much assistance noi bai side but good changi side arrival song hong lounge decent good food nice view apron used amazing bookthecook meals decent though not good would like inflight service excellentinflight service excellent,0.42037037037037034,237,36
L Tran,2023-06-27,True,Family Leisure,April 2023,Singapore to Ho Chi Minh,Business Class,2,Singapore,Ho Chi Minh,None,False,Singapore, Philippines,Singapore,Ho Chi Minh,1.357107,14.5928626,103.8194992,120.9780453,2388.3603861413812,"  The Silver Kris Lounge at SIN T3 was big and nice. However, finding good seating during peak time was still challenging. The lounge offered good selection of food including Western, Chinese and local options. The flight was on SQ regional A350-900, which has similar flatbed seats as other premium airlines' long-haul equipment. That was really nice for a sub 2-hour flight. In-flight food service was very nice for such a short flight.really nice for a sub 2-hour flight",2023,06,27,silver kris lounge sin big nice however finding good seating peak time still challenging lounge offered good selection food including western chinese local options sq regional similar flatbed seats premium longhaul equipment really nice sub inflight food service nice short flightreally nice sub,0.33076923076923076,295,43
L Tran,2023-06-27,False,Family Leisure,April 2023,New York to Singapore,Business Class,2,New York,Singapore,None,False, United States,Singapore,New York,Singapore,40.7127281,1.357107,-74.0060152,103.8194992,15340.036451193524,"  I was supposed to fly on SQ25 to Singapore via Frankfurt. The flight was canceled after we are at the gate for 4 hours past the departure time without any explanation. Being flown with SQ for many times, I suspect this had to do with JFK rather than the airline. However, they should still bear the responsibility for addressing to their customers. We were rebooked to the non-stop SQ23 to Singapore the following day. We ended up on the A350-900XLR, which was quite nice, but I still prefer their A380. Due to the flight change, we did not get our book the cook meals. In-flight service was quite nice as expected from SQ.In-flight service was quite nice",2023,06,27,supposed fly via frankfurt canceled gate hours past departure time without explanation flown sq many times suspect jfk rather however still bear responsibility addressing customers rebooked nonstop following day ended quite nice but still prefer due change not get book cook meals inflight service quite nice expected sqinflight service quite nice,0.2916666666666667,347,51
C Motts,2023-06-23,True,Solo Leisure,May 2023,Brisbane to London via Singapore,Economy Class,0,Brisbane,London,Singapore,True, Australia, United Kingdom,Brisbane City,London,-27.4689682,51.4893335,153.0234991,-0.14405508452768728,16524.15527000127,"  When booking my flight I advised the travel agent I am a coeliac so need a gluten free diet, but I also have allergies to dairy and egg, so needed a GF Vegan meal, thinking this would be the easier option. When I boarded the flight was advised I could have either the GF meal or the Vegan. As the GF had dairy in it was not suitable, and the Vegan has gluten in. They advised me to contact the staff at the airline when I arrived to organise the return flights.  I had fruit which the lovely cabin crew sourced from business class and a bag of potato chips.  I contacted our travel agent to be informed I was listed for the GF vegan meals. So contacted Singapore airlines, the person I spoke to said it was not acceptable that I needed a combination of the two they only dealt with one allergy per person! I would need a Drs certificate if I had to have it. He then told me to take my own food. Which I ended up doing, but the amount of room available on the plane is minimal and awkward to get to bags when you’re elderly. Again the crew managed to source some fruit for me. needed a GF Vegan meal ",2023,06,23,booking advised travel agent coeliac need gluten free diet but also allergies dairy egg needed gf vegan meal thinking would easier option boarded advised could either gf meal vegan gf dairy not suitable vegan gluten advised contact staff arrived organise return flights fruit lovely cabin crew sourced business class bag potato chips contacted travel agent informed listed gf vegan meals contacted person spoke said not acceptable needed combination two dealt one allergy per person would need drs certificate if told take food ended but amount room available minimal awkward get bags you’re elderly crew managed source fruit needed gf vegan meal,0.05416666666666666,646,101
Olga Pavlenko,2023-06-20,True,Couple Leisure,June 2023,Singapore to Milan,Business Class,1,Singapore,Milan,None,False,Singapore, Italy,Singapore,Milan,1.357107,45.4641943,103.8194992,9.1896346,10265.087293580793," I find it appalling that SA’s flight attendants allow children seated in Economy to come visit their parents in Business. I didn’t pay in excess of $5000 per ticket to be sharing the aisle with other people and be irritated by the noise produced. I was seated in 17D, the person in question was in A17, his child came at night and they played loud games, I was hearing the child’s talking and laughing through my sleep. I believe that it’s not professional behavior on the part of SA’s FAs and they shouldn’t be allowed to place parents and minors in different classes, let alone let the visitors in, no matter what age. I will not be flying Singapore Airlines any longer unless this problem gets fixed.not professional behavior on the part of SA’s FAs",2023,06,20,find appalling sa’s attendants allow children seated economy come visit parents business didn’t pay excess per ticket sharing aisle people irritated noise produced seated person question child came night played loud games hearing child’s talking laughing sleep believe it’s not professional behavior part sa’s fas shouldn’t allowed place parents minors different classes let alone let visitors no matter age will not flying longer unless problem gets fixednot professional behavior part sa’s fas,-0.039999999999999994,495,72
Rob Clark,2023-06-16,False,Couple Leisure,June 2023,Manchester to Singapore,Business Class,1,Manchester,Singapore,None,False, United Kingdom,Singapore,Manchester,Singapore,53.4794892,1.357107,-2.2451148,103.8194992,10942.809037363091,  Worst business class seats. Why does SQ still have business class seats where the place to put your feet is not in line with the rest of your body? And the transition from bed to sitting is NOT a button push. Rather: Get out of seat. Flip seat with handles. Get back into seat/bed.Worst business class seats,2023,06,16,worst business class seats sq still business class seats place put feet not line rest body transition bed sitting not button push rather get seat flip seat handles get back seatbedworst business class seats,-0.5,206,34
